Legal_Entity_Structure ,Missing_Identifier,PartySharingSameAddress,HighestRiskCountry,HIFCA_ZIP,MultipleCards,SARs,TransactionAlters,SARS_LEGALSERVICES
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Mali,No,Party has 5 or more authorized users,0,4,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Afghanistan,Yes,Party does not have 5 or more authorized users,2,5,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,Venezuela,Yes,Party does not have 5 or more authorized users,5,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,United States of America,No,Party does not have 5 or more authorized users,1,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Mali,Yes,Party has 5 or more authorized users,4,1,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Cabo Verde,Yes,Party has 5 or more authorized users,3,1,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Uzbekistan,Yes,Party has 5 or more authorized users,5,4,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Chad,Yes,Party does not have 5 or more authorized users,4,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Cambodia,Yes,Party has 5 or more authorized users,1,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Chad,No,Party has 5 or more authorized users,4,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Another party is sharing this party's address,Zambia,No,Party has 5 or more authorized users,0,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Honduras ,No,Party does not have 5 or more authorized users,1,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Zambia,Yes,Party has 5 or more authorized users,1,4,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,South Sudan,No,Party has 5 or more authorized users,2,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,No other unrelated party has this address,Venezuela,Yes,Party does not have 5 or more authorized users,2,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,North Korea,No,Party has 5 or more authorized users,2,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Venezuela,Yes,Party has 5 or more authorized users,1,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Cambodia,Yes,Party does not have 5 or more authorized users,4,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Chad,No,Party has 5 or more authorized users,5,0,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Bangladesh,Yes,Party does not have 5 or more authorized users,4,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Mauritius,No,Party has 5 or more authorized users,0,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Iraq,No,Party does not have 5 or more authorized users,1,5,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Cyprus,Yes,Party has 5 or more authorized users,5,5,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,No other unrelated party has this address,Zambia,No,Party has 5 or more authorized users,2,2,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Another party is sharing this party's address,United States of America,Yes,Party does not have 5 or more authorized users,5,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cambodia,Yes,Party has 5 or more authorized users,3,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Uzbekistan,Yes,Party has 5 or more authorized users,0,1,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Tajikistan,No,Party does not have 5 or more authorized users,3,0,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Swaziland,No,Party has 5 or more authorized users,4,5,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Cyprus,No,Party has 5 or more authorized users,2,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,Another party is sharing this party's address,Burma (Myanmar),Yes,Party has 5 or more authorized users,2,2,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Burma (Myanmar),No,Party has 5 or more authorized users,1,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Burma (Myanmar),Yes,Party has 5 or more authorized users,4,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,No other unrelated party has this address,Cambodia,Yes,Party does not have 5 or more authorized users,2,0,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Another party is sharing this party's address,Cambodia,No,Party does not have 5 or more authorized users,5,1,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Uzbekistan,Yes,Party does not have 5 or more authorized users,4,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Laos,No,Party does not have 5 or more authorized users,0,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,No other unrelated party has this address,Saint Kitts and Nevis,Yes,Party does not have 5 or more authorized users,0,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Cyprus,Yes,Party has 5 or more authorized users,5,3,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,No other unrelated party has this address,Panama,No,Party has 5 or more authorized users,1,3,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Panama,Yes,Party does not have 5 or more authorized users,3,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Afghanistan,No,Party does not have 5 or more authorized users,2,1,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Venezuela,No,Party does not have 5 or more authorized users,5,2,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Saint Kitts and Nevis,Yes,Party has 5 or more authorized users,0,5,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,No other unrelated party has this address,Cabo Verde,No,Party does not have 5 or more authorized users,2,4,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Chad,No,Party has 5 or more authorized users,3,1,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Ecuador,No,Party has 5 or more authorized users,3,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Iraq,No,Party does not have 5 or more authorized users,5,4,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,Burma (Myanmar),No,Party has 5 or more authorized users,2,1,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Laos,Yes,Party does not have 5 or more authorized users,1,1,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Laos,No,Party has 5 or more authorized users,4,3,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Bangladesh,No,Party has 5 or more authorized users,4,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Saint Kitts and Nevis,Yes,Party does not have 5 or more authorized users,2,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cabo Verde,Yes,Party has 5 or more authorized users,4,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Ecuador,Yes,Party has 5 or more authorized users,0,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Cyprus,Yes,Party has 5 or more authorized users,2,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Another party is sharing this party's address,Zambia,Yes,Party does not have 5 or more authorized users,2,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Indonesia,Yes,Party has 5 or more authorized users,1,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Guatemala,Yes,Party does not have 5 or more authorized users,1,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Mauritius,No,Party has 5 or more authorized users,0,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Mali,Yes,Party has 5 or more authorized users,3,2,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Chad,Yes,Party does not have 5 or more authorized users,5,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Cabo Verde,Yes,Party does not have 5 or more authorized users,1,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Iraq,Yes,Party has 5 or more authorized users,1,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Panama,No,Party does not have 5 or more authorized users,5,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Bangladesh,Yes,Party does not have 5 or more authorized users,1,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Turkmenistan,No,Party has 5 or more authorized users,1,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Afghanistan,Yes,Party does not have 5 or more authorized users,1,0,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Cambodia,No,Party does not have 5 or more authorized users,4,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Cabo Verde,No,Party does not have 5 or more authorized users,3,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Saint Kitts and Nevis,Yes,Party does not have 5 or more authorized users,4,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Uzbekistan,Yes,Party has 5 or more authorized users,4,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Honduras ,Yes,Party has 5 or more authorized users,2,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Indonesia,Yes,Party does not have 5 or more authorized users,5,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,United States of America,No,Party does not have 5 or more authorized users,3,0,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,United States of America,No,Party has 5 or more authorized users,4,2,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,No other unrelated party has this address,Mali,Yes,Party has 5 or more authorized users,4,5,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,No other unrelated party has this address,Burma (Myanmar),No,Party does not have 5 or more authorized users,5,5,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Burma (Myanmar),Yes,Party does not have 5 or more authorized users,3,0,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Turkmenistan,No,Party has 5 or more authorized users,0,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Cambodia,Yes,Party does not have 5 or more authorized users,1,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Burma (Myanmar),No,Party has 5 or more authorized users,0,4,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Another party is sharing this party's address,Tajikistan,Yes,Party has 5 or more authorized users,0,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Chad,Yes,Party does not have 5 or more authorized users,0,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Another party is sharing this party's address,Mauritius,Yes,Party does not have 5 or more authorized users,1,1,Party has no SAR related to Legal Services Processes
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Indonesia,No,Party does not have 5 or more authorized users,5,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Honduras ,Yes,Party has 5 or more authorized users,3,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Zambia,Yes,Party does not have 5 or more authorized users,1,5,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Tajikistan,Yes,Party has 5 or more authorized users,2,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,Cabo Verde,Yes,Party has 5 or more authorized users,4,5,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Honduras ,Yes,Party does not have 5 or more authorized users,3,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,No other unrelated party has this address,South Sudan,Yes,Party does not have 5 or more authorized users,4,5,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Swaziland,No,Party has 5 or more authorized users,3,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Burma (Myanmar),Yes,Party does not have 5 or more authorized users,0,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,United States of America,No,Party has 5 or more authorized users,1,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Panama,Yes,Party does not have 5 or more authorized users,1,0,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,Bangladesh,Yes,Party does not have 5 or more authorized users,2,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Two or more unrelated parties share the address,North Korea,No,Party has 5 or more authorized users,2,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Maldives,Yes,Party does not have 5 or more authorized users,5,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Afghanistan,Yes,Party has 5 or more authorized users,4,2,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,No other unrelated party has this address,Turkmenistan,Yes,Party has 5 or more authorized users,0,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Indonesia,No,Party does not have 5 or more authorized users,0,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Tajikistan,Yes,Party does not have 5 or more authorized users,2,3,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,No other unrelated party has this address,Mauritius,Yes,Party does not have 5 or more authorized users,5,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,No other unrelated party has this address,Iraq,Yes,Party has 5 or more authorized users,0,2,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Chad,No,Party has 5 or more authorized users,5,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Uzbekistan,No,Party does not have 5 or more authorized users,0,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,United States of America,No,Party does not have 5 or more authorized users,2,1,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Tajikistan,No,Party does not have 5 or more authorized users,5,2,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Turkmenistan,Yes,Party does not have 5 or more authorized users,4,3,Party has no SAR related to Legal Services Processes
Corporations,Available and valid Identifier,Another party is sharing this party's address,South Sudan,No,Party has 5 or more authorized users,2,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Saint Kitts and Nevis,No,Party does not have 5 or more authorized users,4,1,Party has no SAR related to Legal Services Processes
S Corporations,Available and valid Identifier,Two or more unrelated parties share the address,Maldives,Yes,Party has 5 or more authorized users,4,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,No other unrelated party has this address,Ecuador,Yes,Party has 5 or more authorized users,0,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Another party is sharing this party's address,Burma (Myanmar),Yes,Party has 5 or more authorized users,4,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,North Korea,No,Party has 5 or more authorized users,1,5,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,North Korea,Yes,Party does not have 5 or more authorized users,5,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,Uzbekistan,No,Party does not have 5 or more authorized users,2,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,Another party is sharing this party's address,Panama,Yes,Party does not have 5 or more authorized users,2,4,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,Two or more unrelated parties share the address,Bangladesh,Yes,Party does not have 5 or more authorized users,3,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Cambodia,No,Party has 5 or more authorized users,4,1,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Afghanistan,Yes,Party has 5 or more authorized users,1,1,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Laos,No,Party has 5 or more authorized users,2,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Afghanistan,No,Party has 5 or more authorized users,1,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Tajikistan,Yes,Party has 5 or more authorized users,3,1,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Iraq,No,Party has 5 or more authorized users,0,2,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Another party is sharing this party's address,Cyprus,Yes,Party does not have 5 or more authorized users,1,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,No other unrelated party has this address,Cyprus,No,Party does not have 5 or more authorized users,2,4,Party has no SAR related to Legal Services Processes
S Corporations,Missing or Invalid Identifier,Two or more unrelated parties share the address,Mauritius,Yes,Party has 5 or more authorized users,1,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Ecuador,No,Party has 5 or more authorized users,3,2,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,Afghanistan,No,Party has 5 or more authorized users,5,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Cyprus,No,Party does not have 5 or more authorized users,1,3,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Zambia,No,Party does not have 5 or more authorized users,3,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,No other unrelated party has this address,United States of America,No,Party has 5 or more authorized users,0,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Uzbekistan,Yes,Party has 5 or more authorized users,1,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Tajikistan,No,Party does not have 5 or more authorized users,0,3,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Two or more unrelated parties share the address,Venezuela,Yes,Party has 5 or more authorized users,0,2,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,No other unrelated party has this address,South Sudan,No,Party does not have 5 or more authorized users,4,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Uzbekistan,No,Party has 5 or more authorized users,2,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Missing or Invalid Identifier,Another party is sharing this party's address,Mali,No,Party does not have 5 or more authorized users,1,5,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Mauritius,No,Party does not have 5 or more authorized users,4,1,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,South Sudan,Yes,Party does not have 5 or more authorized users,0,3,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Iraq,No,Party does not have 5 or more authorized users,2,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Missing or Invalid Identifier,Another party is sharing this party's address,Mauritius,Yes,Party does not have 5 or more authorized users,5,4,Party has no SAR related to Legal Services Processes
Limited Liability Company (LLC),Missing or Invalid Identifier,Two or more unrelated parties share the address,Maldives,Yes,Party has 5 or more authorized users,0,2,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Available and valid Identifier,No other unrelated party has this address,Honduras ,No,Party has 5 or more authorized users,2,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
S Corporations,Available and valid Identifier,Another party is sharing this party's address,Bangladesh,No,Party does not have 5 or more authorized users,3,4,Party has no SAR related to Legal Services Processes
Sole Proprietorships,Missing or Invalid Identifier,Another party is sharing this party's address,Iraq,Yes,Party does not have 5 or more authorized users,4,4,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,Two or more unrelated parties share the address,United States of America,Yes,Party has 5 or more authorized users,1,5,Party has no SAR related to Legal Services Processes
Partnerships,Missing or Invalid Identifier,No other unrelated party has this address,South Sudan,No,Party has 5 or more authorized users,5,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Sole Proprietorships,Available and valid Identifier,Another party is sharing this party's address,Cabo Verde,No,Party has 5 or more authorized users,0,2,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Corporations,Available and valid Identifier,No other unrelated party has this address,Laos,No,Party does not have 5 or more authorized users,4,0,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Burma (Myanmar),No,Party does not have 5 or more authorized users,1,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,No other unrelated party has this address,Mauritius,No,Party has 5 or more authorized users,5,5,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Partnerships,Missing or Invalid Identifier,Two or more unrelated parties share the address,Congo,No,Party has 5 or more authorized users,5,0,Party has no SAR related to Legal Services Processes
Partnerships,Available and valid Identifier,No other unrelated party has this address,Saint Kitts and Nevis,No,Party does not have 5 or more authorized users,3,1,Party has a SAR filed related to legal service process (e.g. subpoenas National Security Letter 314(a))
Limited Liability Company (LLC),Available and valid Identifier,Another party is sharing this party's address,Saint Kitts and Nevis,No,Party has 5 or more authorized users,5,5,Party has no SAR related to Legal Services Processes
